subject,best_lambda,train_corr_mean,train_corr_std,test_corr_mean,test_corr_std,train_accuracy,test_accuracy
S1,3.1622776601683795,0.21562412774774364,0.07473948977233798,0.10719574540803806,0.08868501491895799,0.9523809523809523,0.6666666666666666
S2,0.001,0.24341510802611607,0.09922062406052971,0.1139470915622533,0.07989352884582959,0.9761904761904762,0.6666666666666666
S3,3.1622776601683795,0.2628010127424752,0.09665964533927393,0.16867441142004733,0.094809510857624,0.9761904761904762,0.8333333333333334
S4,0.03162277660168379,0.26958513661562455,0.05991283015846236,0.20819956420247213,0.0771845977059954,1.0,0.9444444444444444
S5,0.31622776601683794,0.2284664705897769,0.06155487038781743,0.09307606450984282,0.06487132075995336,1.0,0.7222222222222222
S6,0.1,0.2231997239037039,0.07159247523439272,0.04952595069917262,0.09497442947818294,0.9285714285714286,0.5555555555555556
S7,3.1622776601683795,0.2953989012954548,0.08039144596043586,0.21222225751591564,0.07685572091677167,1.0,0.9444444444444444
S8,1.0,0.29985195651778307,0.07089271840311927,0.20572682443423412,0.09452559917766609,1.0,0.9444444444444444
S9,0.1,0.2234223641647209,0.06956515857031217,0.0965595974568322,0.05611811540135211,1.0,0.6666666666666666
S10,3.1622776601683795,0.21967375093589883,0.06533986135518607,0.08522128607789065,0.0685243021650163,0.9523809523809523,0.6666666666666666
S11,1.0,0.19335682563321482,0.07481708571367694,0.042339428370590494,0.08697224866870792,0.9761904761904762,0.5555555555555556
S12,3.1622776601683795,0.19322910333336932,0.08451526962883968,0.11688745297545358,0.07924350186517105,0.9047619047619048,0.7777777777777778
